2026-01-06 15:22:11 | ACTIVITY | INFO | Login attempt for user: IT Support - example
2026-01-06 15:23:34 | ACTIVITY | INFO | Login attempt for user: IT Staff 8 - example
2026-01-06 15:23:35 | ACTIVITY | INFO | User authenticated successfully: IT Staff 8 - example
2026-01-06 15:23:35 | ACTIVITY | INFO | Tokens generated for user: IT Staff 8 - example
2026-01-06 15:23:35 | ACTIVITY | INFO | Refresh token stored for user: IT Staff 8 - example
2026-01-06 15:23:35 | ACTIVITY | INFO | Manager check for IT Staff 8 - example: False
2026-01-06 15:23:35 | ACTIVITY | INFO | Login successful for user: IT Staff 8 - example
2026-01-06 15:24:05 | ACTIVITY | INFO | Token refresh attempt
2026-01-06 15:24:05 | ACTIVITY | INFO | Refresh token decoded for user: IT Staff 8 - example
2026-01-06 15:34:38 | ACTIVITY | INFO | Login attempt for user: IT Staff 8 - example
2026-01-06 15:34:39 | ACTIVITY | INFO | User authenticated successfully: IT Staff 8 - example
2026-01-06 15:34:39 | ACTIVITY | INFO | Tokens generated for user: IT Staff 8 - example
2026-01-06 15:34:39 | ACTIVITY | INFO | Refresh token stored for user: IT Staff 8 - example
2026-01-06 15:34:39 | ACTIVITY | INFO | Manager check for IT Staff 8 - example: False
2026-01-06 15:34:39 | ACTIVITY | INFO | Login successful for user: IT Staff 8 - example
2026-01-06 15:34:49 | ACTIVITY | INFO | Token refresh attempt
2026-01-06 15:34:49 | ACTIVITY | INFO | Refresh token decoded for user: IT Staff 8 - example
2026-01-06 15:34:49 | ACTIVITY | INFO | Old refresh token invalidated for user: IT Staff 8 - example
2026-01-06 15:34:49 | ACTIVITY | INFO | New tokens generated for user: IT Staff 8 - example
2026-01-06 15:34:49 | ACTIVITY | INFO | Token refresh successful for user: IT Staff 8 - example
2026-01-06 15:34:49 | ACTIVITY | INFO | Manager check for IT Staff 8 - example: False
2026-01-06 15:37:16 | ACTIVITY | INFO | Token validated for user: IT Staff 8 - example
2026-01-06 15:37:16 | ACTIVITY | INFO | Logout initiated for user: IT Staff 8 - example
2026-01-06 15:37:16 | ACTIVITY | INFO | Logout successful for user: IT Staff 8 - example
2026-01-06 17:08:53 | ACTIVITY | INFO | Login attempt for user: IT Staff 8 - example
2026-01-06 17:08:53 | ACTIVITY | INFO | User authenticated successfully: IT Staff 8 - example
2026-01-06 17:08:53 | ACTIVITY | INFO | Manager check for IT Staff 8 - example: False
